_id,OBJECTID,Animal_Lab_ID,Event,Date,SpeciesNameEng,RegionEng,Species,SettlementEng,LocationNotSettlementEng,Year,Month
230,13,A00316665,38.0,2018-03-19,Dog,Galil Golan,VII A,Zefat,,2018,3
231,12,A00316149,37.0,2018-03-12,Jackal,Amakim,VII B,Bet She'Arim,,2018,3
232,10,A00315920,36.0,2018-03-08,Jackal,Amakim,VII B,Sandala,,2018,3
233,11,A00315604,34.0,2018-03-05,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018,3
234,32,A00315607,35.0,2018-03-04,Jackal,Amakim,VII B,Sarid,,2018,3
235,26,A00315167,31.0,2018-02-26,Jackal,Amakim,VII B,Mishmar Haemeq,,2018,2
236,25,A00315169,32.0,2018-02-25,Jackal,Amakim,VII B,Megiddo,,2018,2
237,24,A00315175,33.0,2018-02-25,Cattle,Amakim,VII B,Kefar Yehoshua,,2018,2
238,28,A00314818,29.0,2018-02-21,Jackal,Amakim,VII B,Hayogev,,2018,2
239,27,A00314819,30.0,2018-02-21,Cattle,Amakim,VII B,Bet She'Arim,,2018,2
240,29,A00314715,28.0,2018-02-20,Jackal,Amakim,VII B,Kefar Ruppin,,2018,2
241,9,A00314141,27.0,2018-02-12,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018,2
242,445,​​A00313698​​,26.0,2018-02-06,Jackal,Hasharon,VII B,Tayibe,,2018,2
243,8,A00313698,26.0,2018-02-06,Jackal,Amakim,VII B,Tayibe(Baemeq),,2018,2
244,7,A00313586,25.0,2018-02-05,Jackal,Galil Golan,VII B,Menahemya,,2018,2
245,6,A00313444,24.0,2018-02-04,Jackal,Hasharon,VII B,Omez,,2018,2
246,4,A00313049,22.0,2018-01-30,Jackal,Amakim,VII B,Sede Eliyyahu,,2018,1
247,5,A00313050,23.0,2018-01-30,Jackal,Galil Maaravi,VII B,Bet She'Arim,,2018,1
248,50,A00313015 ,21.0,2018-01-29,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018,1
249,47,A00312426 ,18.0,2018-01-22,Jackal,Galil Golan,I,Sha'Ar Hagolan,,2018,1
250,48,A00312428 ,19.0,2018-01-22,Jackal,Amakim,VII B,En Harod(Me'Uhad),,2018,1
251,49,A00312415 ,20.0,2018-01-22,Jackal,Amakim,VII B,Kefar Ruppin,,2018,1
252,3,A00312287,17.0,2018-01-21,Cattle,Galil Golan,VII A,Kefar Szold,,2018,1
253,446,​​A00312287​​​​,17.0,2018-01-21,Cattle,Galil Golan,VII A,Kefar Szold,,2018,1
254,23,A00312161,16.0,2018-01-18,Cattle,Amakim,VII B,Basma,,2018,1
255,46,A00311903 ,15.0,2018-01-16,Jackal,Amakim,VII B,En Harod(Me'Uhad),,2018,1
256,2,A00311549,14.0,2018-01-14,Jackal,Galil Golan,VII B,Menahemya,,2018,1
257,43,A00311405 ,11.0,2018-01-10,Jackal,Galil Golan,VII B,Menahemya,,2018,1
258,44,A00311410 ,12.0,2018-01-10,Jackal,Amakim,VII B,Kefar Barukh,,2018,1
259,45,A00311419 ,13.0,2018-01-10,Cattle,Amakim,VII B,Nahalal,,2018,1
260,1,A00311272,10.0,2018-01-09,Cattle,Amakim,VII B,Nahalal,,2018,1
261,42,A00311161 ,9.0,2018-01-08,Jackal,Amakim,VII B,Nahalal,,2018,1
262,41,A00310989 ,8.0,2018-01-07,Jackal,Galil Golan,VII B,Kefar Tavor,,2018,1
263,39,A00310885 ,6.0,2018-01-04,Jackal,Amakim,VII B,Tirat Zevi,,2018,1
264,40,A00310882 ,7.0,2018-01-04,Jackal,Amakim,VII B,Kefar Barukh,,2018,1
265,37,A00310564 ,4.0,2018-01-02,Jackal,Amakim,VII B,Kefar Yehoshua,,2018,1
266,38,A00310566 ,5.0,2018-01-02,Jackal,Amakim,VII B,Kefar Yehoshua,,2018,1
267,34,A00310420 ,1.0,2018-01-01,Jackal,Amakim,VII B,Kefar Ruppin,,2018,1
268,35,A00310423 ,2.0,2018-01-01,Jackal,Amakim,VII B,Ma'Oz Hayyim,,2018,1
269,36,A00310447 ,3.0,2018-01-01,Jackal,Amakim,VII B,Sheluhot,,2018,1
270,122,A00310277,74.0,2017-12-31,Jackal,Galil Golan,I,Amir,,2017,12
271,121,A00310145,73.0,2017-12-28,Dog,Galil Golan,VII B,Yavne'El,,2017,12
272,120,A00310163 ,72.0,2017-12-28,Jackal,Amakim,VII B,Midrakh Oz,,2017,12
273,119,A00310037 ,71.0,2017-12-27,Jackal,Amakim,VII B,Bet Hashitta,,2017,12
274,118,A00309718 ,70.0,2017-12-25,Jackal,Amakim,VII B,Tel Yosef,,2017,12
275,117,A00309721 ,69.0,2017-12-25,Jackal,Hasharon,VII B,Yoqne'Am(Moshava),,2017,12
276,116,A00309501 ,68.0,2017-12-22,Jackal,Amakim,VII B,Yoqne'Am(Moshava),,2017,12
277,115,A00308988,67.0,2017-12-19,Jackal,Amakim,VII B,Kefar Yehoshua,,2017,12
278,114,A00308957 ,66.0,2017-12-18,Jackal,Amakim,VII B,Yardena,,2017,12
279,113,A00308873 ,65.0,2017-12-17,Cattle,Amakim,VII B,Nahalal,,2017,12
280,109,A00308238 ,61.0,2017-12-11,Jackal,Amakim,VII B,Hefzi-Bah,,2017,12
281,110,A00308239 ,62.0,2017-12-11,Jackal,Amakim,VII B,Hefzi-Bah,,2017,12
282,111,A00308243,63.0,2017-12-11,Jackal,Amakim,VII B,Nurit,,2017,12
283,112,A00308374,64.0,2017-12-11,Jackal,Amakim,VII B,Perazon,,2017,12
284,108,A00308237 ,60.0,2017-12-11,Jackal,Amakim,VII B,Tel Te'Omim,,2017,12
