_id,OBJECTID,Animal_Lab_ID,Event,Date,SpeciesNameEng,RegionEng,Species,SettlementEng,LocationNotSettlementEng,Year
62,638,A00478291,14.0,2023-03-19,Dog,Galil Golan,V II A,Habonim,,2023
63,636,A00477317,13.0,2023-03-06,Jackal,Galil Golan,VII A,Yavne'El,,2023
64,635,A00475631,12.0,2023-02-13,Cattle,Galil Golan,VII B,,,2023
65,634,A00475410,11.0,2023-02-12,Jackal,Galil Golan,VII A,Margaliyyot,,2023
66,633,A00474815,10.0,2023-02-04,Dog,Amakim,VII A,Bet She'An,,2023
67,632,A00474753,9.0,2023-02-04,Jackal,Galil Golan,VII B,,,2023
68,631,A00474056,8.0,2023-01-23,Cattle,Galil Golan,VII A,,,2023
69,630,A00474034,7.0,2023-01-23,Jackal,Amakim,VII A,Gesher,,2023
70,629,A00473685,6.0,2023-01-18,Dog,Galil Golan,VII A,Tuba-Zangariyye,,2023
71,628,A00473352,5.0,2023-01-15,Jackal,Galil Maaravi,VII A,Mattat,,2023
72,626,A00473269,3.0,2023-01-14,Jackal,Galil Golan,VII A,,snir,2023
73,627,A00473272,4.0,2023-01-14,Jackal,Amakim,VII A,,,2023
74,625,A00473022,2.0,2023-01-09,Jackal,Galil Maaravi,VII A,Even Menahem,,2023
75,624,A00472630,1.0,2023-01-03,Jackal,Galil Golan,VII B,Agur,,2023
76,623,A00470814,29.0,2022-12-10,Jackal,Amakim,VIIA,Hefzi-Bah,,2022
77,622,A00470338,28.0,2022-12-03,Jackal,Amakim,VIIA,Reshafim,,2022
78,621,A00469667,27.0,2022-11-26,Jackal,Galil Golan,VIIA,,,2022
79,620,A00469324,26.0,2022-11-22,Jackal,Amakim,VIIA,Mele'A,,2022
80,619,A00468702,25.0,2022-11-14,Jackal,Amakim,VIIA,Hamadya,,2022
81,618,A00467847,24.0,2022-11-05,Jackal,Galil Golan,VIIA,Gesher,,2022
82,617,A00467842,23.0,2022-11-05,Jackal,Galil Golan,VIIB,Margaliyyot,,2022
83,616,A00466698,22.0,2022-10-23,Jackal,Amakim,VIIA,En Hanaziv,,2022
84,615,A00465451,21.0,2022-09-28,Jackal,Amakim,VIIA,En Hanaziv,,2022
85,614,A00465445,20.0,2022-09-28,Dog,Galil Maaravi,VIIA,Even Menahem,,2022
86,613,A00464997,19.0,2022-09-20,Jackal,Amakim,VIIA,Hamadya,,2022
87,610,A00463575,18.0,2022-09-04,Jackal,Galil Golan,VIIA,Yir'On,,2022
88,609,A00463220,17.0,2022-08-30,Dog,Galil Golan,VIIA,Yir'On,,2022
89,608,A00462804,16.0,2022-08-27,Dog,Galil Maaravi,VIIA,Hurfeish,,2022
90,611,A00462600,15.0,2022-08-22,Jackal,Amakim,VIIA,Hamadya,,2022
91,606,A00462513,14.0,2022-08-21,Cattle,Galil Golan,I,Buq'Ata,,2022
92,605,A00461809,13.0,2022-08-14,Jackal,Galil Golan,VIIA,Gid'Ona,,2022
93,603,A00450285,12.0,2022-04-23,Cattle,Galil Maaravi,VIIA,Fassuta,,2022
94,602,A00448589,11.0,2022-04-03,Dog,Galil Golan,VIIA,Yesud Hama'Ala,,2022
95,601,A00447740,10.0,2022-03-27,Cat,Galil Golan,VIIA,Kefar Hoshen,,2022
96,600,A00447437,9.0,2022-03-23,Jackal,Galil Golan,VIIA,Yiftah,,2022
97,599,A00444740,8.0,2022-02-28,Cattle,Galil Golan,VIIA,Tuba-Zangariyye,,2022
98,598,A00444336,7.0,2022-02-26,Jackal,Galil Maaravi,VIIA,Abbirim,,2022
99,597,A00441802,6.0,2022-02-03,Jackal,Galil Golan,VIIA,Sede Eli'Ezer,,2022
100,596,A00441674,5.0,2022-01-30,Dog,Galil Maaravi,VIIA,Hazor Hagelilit,,2022
101,594,A00440469,4.0,2022-01-18,Jackal,Galil Golan,VIIA,Ayyelet Hashahar,,2022
102,593,A00439981,3.0,2022-01-12,Jackal,Galil Golan,VIIA,Kefar Gil'Adi,,2022
103,592,A00439738,2.0,2022-01-10,Dog,Galil Golan,VIIA,Kefar Rozenwald(Zarit),,2022
104,591,A00439275,1.0,2022-01-08,Jackal,Galil Golan,VIIA,Ayyelet Hashahar,,2022
105,589,A00438815,40.0,2021-12-29,Jackal,Galil Golan,VIIA,Dafna,,2021
106,588,A00438706,39.0,2021-12-28,Dog,Galil Golan,VIIA,Shetula,,2021
107,586,A00438394,38.0,2021-12-26,Dog,Galil Maaravi,VIIA,Aramsha,,2021
108,585,A00438141,37.0,2021-12-22,Cow,Galil Golan,VIIA,Ortal,,2021
109,584,A00437402,36.0,2021-12-15,Wolf,Galil Golan,VIIA,Ayyelet Hashahar,,2021
110,580,A00435307,35.0,2021-11-24,Jackal,Galil Golan,VIIA,Yir'On,,2021
111,579,​A00434107,34.0,2021-11-14,Jackal,Galil Maaravi,VII A,Elon,,2021
112,578,A00431667,33.0,2021-10-25,Jackal,Galil Golan,VIIA,Misgav Am,,2021
113,576,A00431573,32.0,2021-10-24,Dog,Amakim,VIIA,Sede Eliyyahu,,2021
114,575,​A00430991,31.0,2021-10-18,Jackal,Galil Maaravi,VII A,Shomera,,2021
115,574,A00426045,30.0,2021-08-22,Dog,Galil Golan,VIIA,Shezor,,2021
116,571,A00422687,29.0,2021-07-18,Jackal,Galil Maaravi,VIIA,Shomera,,2021
117,570,A00421253,28.0,2021-07-04,Jackal,Galil Maaravi,VIIA,Bezet,,2021
118,569,A00419315,27.0,2021-06-14,Cattle,Galil Maaravi,VII A,Rame,,2021
119,567,A00418538,26.0,2021-06-07,Cattle,Galil Maaravi,VIIA,Ya'Ara,,2021
120,566,A00418104,25.0,2021-06-02,Cattle,Galil Golan,VIIA,Manot,,2021
121,565,A00417770,24.0,2021-05-31,Cattle,Galil Maaravi,VIIA,Goren,,2021
122,564,A00415978,23.0,2021-05-17,Dog,Galil Golan,VIIA,Beit Jann,,2021
123,563,A00415734,22.0,2021-05-12,Badger,Galil Golan,VIIA,Ma'Yan Barukh,,2021
124,561,A00412397,21.0,2021-04-18,Dog,Galil Golan,VIIA,Beit Jann,,2021
125,559,A00411798,20.0,2021-04-11,Dog,Galil Maaravi,VIIA,Rame,,2021
126,555,​A00411251,19.0,2021-04-06,Dog,Galil Golan,VIIA,Beit Jann,,2021
127,557,A00410874,18.0,2021-04-04,Dog,Galil Golan,VIIA,Had-Nes,,2021
128,556,A00410873,17.0,2021-04-04,Sheep,Galil Golan,VIIA,Had-Nes,,2021
129,551,​A00410869,16.0,2021-04-04,Sheep,Galil Golan,VIIA,Had-Nes,,2021
130,553,A00410650,15.0,2021-04-03,Dog,Galil Golan,VIIA,Beit Jann,,2021
131,548,​A00410624,14.0,2021-04-03,Dog,Galil Golan,VIIA,Beit Jann,,2021
132,547,A00409776,13.0,2021-03-20,Dog,Galil Golan,VIIA,Had-Nes,,2021
133,546,A00409776,12.0,2021-03-20,Dog,Galil Maaravi,VIIA,Peqi'In Hadasha,,2021
134,544,A00407231,11.0,2021-02-28,Dog,Galil Maaravi,VIIA,Peqi'In Hadasha,,2021
135,542,A00407171,10.0,2021-02-25,Dog,Galil Maaravi,VIIA,Ya'Ara,,2021
136,541,A00406867,9.0,2021-02-23,Dog,Galil Golan,VIIA,Menara,,2021
137,540,A00406543,8.0,2021-02-21,Dog,Negev,VII A,En Tamar,,2021
138,536,A00405019,7.0,2021-02-07,Jackal,Galil Golan,VIIA,Yuval,,2021
139,535,A00404412,6.0,2021-02-01,Dog,Galil Golan,VIIA,Dovev,,2021
140,534,A00403086,5.0,2021-01-20,Dog,Negev,,Qetura,,2021
141,533,A00402646,3.0,2021-01-19,Jackal,Galil Golan,VIIA,Kerem Ben Zimra,,2021
142,532,​A00402403,4.0,2021-01-19,Dog,Galil Golan,VIIA,Karkom,,2021
143,531,A00402255,2.0,2021-01-13,Dog,Galil Golan,VII A,Yiftah,,2021
144,530,​A00400941,1.0,2021-01-04,Jackal,Galil Golan,VIIA,She'Ar Yashuv,,2021
145,529,​A00400597,47.0,2020-12-29,Jackal,Galil Golan,VII A,Margaliyyot,,2020
146,528,A00400595,46.0,2020-12-29,Cattle,Galil Maaravi,VIIA,Fassuta,,2020
147,527,A00400482,45.0,2020-12-28,Jackal,Galil Golan,VIIA,Reihaniyye,,2020
148,523,​A00399246,44.0,2020-12-14,Cattle,Galil Golan,VII A,Dalton,,2020
149,522,A00398853,43.0,2020-12-12,Dog,Galil Golan,VIIA,Shetula,,2020
150,521,A00397345,42.0,2020-11-25,Wolf,Galil Golan,VIIA,Had-Nes,,2020
151,520,A00397078,41.0,2020-11-22,Jackal,Galil Golan,VIIA,Shetula,,2020
152,519,​A00397019,40.0,2020-11-22,Jackal,Galil Golan,VII A,Yesud Hama'Ala,,2020
153,518,A00396685,39.0,2020-11-18,Jackal,Galil Golan,VIIA,Dishon,,2020
154,517,A00396484,38.0,2020-11-16,Jackal,Galil Golan,VIIA,Dovev,,2020
155,516,A00396328,37.0,2020-11-15,Jackal,Galil Golan,VIIA,Metula,,2020
156,514,A00396321,36.0,2020-11-15,Jackal,Galil Golan,VIIA,Lahavot Habashan,,2020
157,513,A00396354,35.0,2020-11-15,Jackal,Galil Golan,VIIA,Hagosherim,,2020
158,512,A00395831,34.0,2020-11-09,Wolf,Galil Golan,VIIA,Yesud Hama'Ala,,2020
159,509,A00395816,33.0,2020-11-09,Dog,Galil Golan,VIIA,Metula,,2020
160,508,​A00394493,32.0,2020-10-27,Jackal,Galil Golan,VII A,Margaliyyot,,2020
161,507,A00394275,31.0,2020-10-25,Jackal,Galil Golan,VIIA,Bar'Am,,2020
162,506,A0034090,30.0,2020-10-21,Jackal,Galil Golan,VII A,Sede Nehemya,,2020
163,505,​A00393324,29.0,2020-10-18,Jackal,Galil Golan,VII A,Yir'On,,2020
164,504,A00393026,28.0,2020-10-13,Jackal,Galil Golan,VIIA,Dan,,2020
165,501,A00392860,27.0,2020-10-12,Dog,Galil Golan,VIIA,Mattat,,2020
166,498,A00392398,26.0,2020-10-10,Jackal,Galil Golan,VIIA,Dafna,,2020
167,502,A00392382,25.0,2020-10-10,Jackal,Galil Golan,VIIA,Dan,,2020
168,497,​A00392285,24.0,2020-10-07,Jackal,Galil Maaravi,VII A,Elon,,2020
169,496,A00391976,23.0,2020-09-29,Dog,Galil Golan,VIIA,Misgav Am,,2020
170,495,A00391787,22.0,2020-09-28,Jackal,Galil Golan,VIIA,Netu'A,,2020
171,493,A00387719,21.0,2020-08-09,Dog,Galil Golan,VIIA,Sasa,,2020
172,492,A00385763,20.0,2020-07-15,Jackal,Galil Maaravi,VIIA,Liman,,2020
173,491,A00384848,19.0,2020-07-06,Jackal,Galil Golan,VIIA,Ne'Ot Mordekhay,,2020
174,488,​A00381599,18.0,2020-06-02,Cattle,Galil Maaravi,VII A,Fassuta,,2020
175,487,A00380490,17.0,2020-05-18,Cattle,Galil Golan,VII A,Kefar Szold,,2020
176,486,A00379939,16.0,2020-05-12,Dog,Galil Golan,VII A,Bar'Am,,2020
177,490,A00379317,15.0,2020-05-06,Dog,Galil Maaravi,VII,Sa'Ar,,2020
178,485,A00378866,14.0,2020-05-04,Jackal,Galil Golan,VII A,Yir'On,,2020
179,483,A00378364,13.0,2020-04-26,Dog,Galil Maaravi,VII A,Fassuta,,2020
180,482,A00377910,12.0,2020-04-20,Dog,Galil Maaravi,VII A,Peqi'In (Buqei'A),,2020
181,481,A00377285,11.0,2020-04-04,Dog,Galil Golan,VII A,Ghajar,,2020
182,480,A00376690,10.0,2020-03-25,Cattle,Galil Golan,VIIA,Alma,,2020
183,479,A00375047​,9.0,2020-03-04,Dog,Galil Golan,VII A,Shamir,,2020
184,478,A00374371​​​​​​,8.0,2020-02-25,Dog,Galil Maaravi,VII A,Fassuta,,2020
185,477,A00374265,7.0,2020-02-24,Dog,Galil Golan,VII A,Alma,,2020
186,573,A00373420,6.0,2020-02-18,Dog,Galil Golan,VIIA,Ramot Naftali,,2020
187,476,​A00373369​,5.0,2020-02-15,Cattle,Galil Golan,VII A,Senir,,2020
188,475,A00372352,4.0,2020-02-04,Dog,Galil Golan,VII A,Bet Hillel,,2020
189,474,A00370589,2.0,2020-01-18,Jackal,Galil Golan,VII A,Yiftah,,2020
190,473,A00369624,1.0,2020-01-07,Jackal,Galil Golan,VII A,Dishon,,2020
191,472,A00368842,17.0,2019-12-25,Jackal,Galil Golan,VII A,Hazor Hagelilit,,2019
192,471,A00367891,16.0,2019-12-15,Jackal,Galil Golan,VII A,Margaliyyot,,2019
193,470,A00366736,15.0,2019-11-27,Jackal,Galil Golan,VII A,Dan,,2019
194,469,A00364579​,14.0,2019-11-02,Dog,Galil Golan,I,Majdal Shams,,2019
195,468,A00363355,13.0,2019-10-22,Dog,Galil Golan,VII A,Misgav Am,,2019
196,467,​A00362990,12.0,2019-10-15,Jackal,Galil Golan,VII A,Hagosherim,,2019
197,466,A00362801,11.0,2019-10-09,Jackal,Galil Golan,VII A,Qiryat Shemona,,2019
198,465,A00358971,10.0,2019-08-20,Dog,Galil Golan,VII A,Qiryat Shemona,,2019
199,464,A00357826,9.0,2019-08-06,Dog,Galil Golan,VII A,Yuval,,2019
200,462,A00355389,8.0,2019-07-10,Dog,Amakim,VII A,Tur'An,,2019
201,461,A00347252,7.0,2019-04-03,Dog,Galil Golan,VII B,Kafar Kama,,2019
202,463,A00344755,6.0,2019-03-06,Jackal,Amakim,VII B,Newe Etan,,2019
203,460,A00343532,5.0,2019-02-24,Dog,Amakim,VII A,Gan Ner,,2019
204,458,A00339385,3.0,2019-01-13,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2019
205,459,A00339387,4.0,2019-01-13,Jackal,Galil Golan,VII A,Yiftah,,2019
206,457,A00339149,2.0,2019-01-12,Dog,Hasharon,VII B,Isifya,,2019
207,456,A00339080,1.0,2019-01-09,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2019
208,455,A00336706,60.0,2018-12-11,Jackal,Galil Golan,VII A,Dan,,2018
209,453,A00333805,59.0,2018-11-05,Jackal,Galil Golan,VII A,Dan,,2018
210,451,A00330739,57.0,2018-10-02,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018
211,452,A00330566,56.0,2018-09-26,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018
212,450,A00327125,55.0,2018-08-07,Jackal,Galil Golan,VII B,Tel Qazir,,2018
213,449,A00325845,54.0,2018-07-22,Dog,Galil Golan,VII A,Gonen,,2018
214,448,A00324471,53.0,2018-07-04,Jackal,Amakim,VII B,Ma'Oz Hayyim,,2018
215,447,​​A00322936,52.0,2018-06-14,Jackal,Galil Golan,VII A,Dovev,,2018
216,33,A00322149,51.0,2018-06-04,Jackal,Galil Golan,VII B,Mevo Hamma,,2018
217,22,A00320347,50.0,2018-05-12,Cattle,Hasharon,VII B,Basma,,2018
218,20,A00320155,48.0,2018-05-08,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2018
219,21,A00320156,49.0,2018-05-08,Dog,Galil Golan,VII A,Dovev,,2018
220,19,A00319720,47.0,2018-05-02,Dog,Hasharon,VII B,Daliyat Al-Karmel,,2018
221,18,A00319738,46.0,2018-05-02,Horse,Hasharon,VII B,Basma,,2018
222,17,A00319596,45.0,2018-05-01,Jackal,Amakim,VII B,Nahalal,,2018
223,16,A00318829,44.0,2018-04-23,Sheep,Galil Golan,VII A,Ghajar,,2018
224,454,A00317604,43.0,2018-04-08,Badger,Galil Golan,VII A,Yesud Hama'Ala,,2018
225,15,A00317549,42.0,2018-04-04,Jackal,Galil Golan,VII A,Yuval,,2018
226,14,A00317493,41.0,2018-03-29,Dog,Hasharon,VII B,Isifya,,2018
227,30,A00317097,40.0,2018-03-24,Jackal,Amakim,VII B,Yardena,,2018
228,31,A00316971,39.0,2018-03-21,Jackal,Amakim,VII B,Kefar Yehoshua,,2018
229,13,A00316665,38.0,2018-03-19,Dog,Galil Golan,VII A,Zefat,,2018
230,12,A00316149,37.0,2018-03-12,Jackal,Amakim,VII B,Bet She'Arim,,2018
231,10,A00315920,36.0,2018-03-08,Jackal,Amakim,VII B,Sandala,,2018
232,11,A00315604,34.0,2018-03-05,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018
233,32,A00315607,35.0,2018-03-04,Jackal,Amakim,VII B,Sarid,,2018
234,26,A00315167,31.0,2018-02-26,Jackal,Amakim,VII B,Mishmar Haemeq,,2018
235,25,A00315169,32.0,2018-02-25,Jackal,Amakim,VII B,Megiddo,,2018
236,24,A00315175,33.0,2018-02-25,Cattle,Amakim,VII B,Kefar Yehoshua,,2018
237,28,A00314818,29.0,2018-02-21,Jackal,Amakim,VII B,Hayogev,,2018
238,27,A00314819,30.0,2018-02-21,Cattle,Amakim,VII B,Bet She'Arim,,2018
239,29,A00314715,28.0,2018-02-20,Jackal,Amakim,VII B,Kefar Ruppin,,2018
240,9,A00314141,27.0,2018-02-12,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018
241,445,​​A00313698​​,26.0,2018-02-06,Jackal,Hasharon,VII B,Tayibe,,2018
242,8,A00313698,26.0,2018-02-06,Jackal,Amakim,VII B,Tayibe(Baemeq),,2018
243,7,A00313586,25.0,2018-02-05,Jackal,Galil Golan,VII B,Menahemya,,2018
244,6,A00313444,24.0,2018-02-04,Jackal,Hasharon,VII B,Omez,,2018
245,4,A00313049,22.0,2018-01-30,Jackal,Amakim,VII B,Sede Eliyyahu,,2018
246,5,A00313050,23.0,2018-01-30,Jackal,Galil Maaravi,VII B,Bet She'Arim,,2018
247,50,A00313015 ,21.0,2018-01-29,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2018
248,47,A00312426 ,18.0,2018-01-22,Jackal,Galil Golan,I,Sha'Ar Hagolan,,2018
249,48,A00312428 ,19.0,2018-01-22,Jackal,Amakim,VII B,En Harod(Me'Uhad),,2018
250,49,A00312415 ,20.0,2018-01-22,Jackal,Amakim,VII B,Kefar Ruppin,,2018
251,3,A00312287,17.0,2018-01-21,Cattle,Galil Golan,VII A,Kefar Szold,,2018
252,446,​​A00312287​​​​,17.0,2018-01-21,Cattle,Galil Golan,VII A,Kefar Szold,,2018
253,23,A00312161,16.0,2018-01-18,Cattle,Amakim,VII B,Basma,,2018
254,46,A00311903 ,15.0,2018-01-16,Jackal,Amakim,VII B,En Harod(Me'Uhad),,2018
255,2,A00311549,14.0,2018-01-14,Jackal,Galil Golan,VII B,Menahemya,,2018
256,43,A00311405 ,11.0,2018-01-10,Jackal,Galil Golan,VII B,Menahemya,,2018
257,44,A00311410 ,12.0,2018-01-10,Jackal,Amakim,VII B,Kefar Barukh,,2018
258,45,A00311419 ,13.0,2018-01-10,Cattle,Amakim,VII B,Nahalal,,2018
259,1,A00311272,10.0,2018-01-09,Cattle,Amakim,VII B,Nahalal,,2018
260,42,A00311161 ,9.0,2018-01-08,Jackal,Amakim,VII B,Nahalal,,2018
261,41,A00310989 ,8.0,2018-01-07,Jackal,Galil Golan,VII B,Kefar Tavor,,2018
262,39,A00310885 ,6.0,2018-01-04,Jackal,Amakim,VII B,Tirat Zevi,,2018
263,40,A00310882 ,7.0,2018-01-04,Jackal,Amakim,VII B,Kefar Barukh,,2018
264,37,A00310564 ,4.0,2018-01-02,Jackal,Amakim,VII B,Kefar Yehoshua,,2018
265,38,A00310566 ,5.0,2018-01-02,Jackal,Amakim,VII B,Kefar Yehoshua,,2018
266,34,A00310420 ,1.0,2018-01-01,Jackal,Amakim,VII B,Kefar Ruppin,,2018
267,35,A00310423 ,2.0,2018-01-01,Jackal,Amakim,VII B,Ma'Oz Hayyim,,2018
268,36,A00310447 ,3.0,2018-01-01,Jackal,Amakim,VII B,Sheluhot,,2018
269,122,A00310277,74.0,2017-12-31,Jackal,Galil Golan,I,Amir,,2017
270,121,A00310145,73.0,2017-12-28,Dog,Galil Golan,VII B,Yavne'El,,2017
271,120,A00310163 ,72.0,2017-12-28,Jackal,Amakim,VII B,Midrakh Oz,,2017
272,119,A00310037 ,71.0,2017-12-27,Jackal,Amakim,VII B,Bet Hashitta,,2017
273,117,A00309721 ,69.0,2017-12-25,Jackal,Hasharon,VII B,Yoqne'Am(Moshava),,2017
274,118,A00309718 ,70.0,2017-12-25,Jackal,Amakim,VII B,Tel Yosef,,2017
275,116,A00309501 ,68.0,2017-12-22,Jackal,Amakim,VII B,Yoqne'Am(Moshava),,2017
276,115,A00308988,67.0,2017-12-19,Jackal,Amakim,VII B,Kefar Yehoshua,,2017
277,114,A00308957 ,66.0,2017-12-18,Jackal,Amakim,VII B,Yardena,,2017
278,113,A00308873 ,65.0,2017-12-17,Cattle,Amakim,VII B,Nahalal,,2017
279,108,A00308237 ,60.0,2017-12-11,Jackal,Amakim,VII B,Tel Te'Omim,,2017
280,109,A00308238 ,61.0,2017-12-11,Jackal,Amakim,VII B,Hefzi-Bah,,2017
281,110,A00308239 ,62.0,2017-12-11,Jackal,Amakim,VII B,Hefzi-Bah,,2017
282,111,A00308243,63.0,2017-12-11,Jackal,Amakim,VII B,Nurit,,2017
283,112,A00308374,64.0,2017-12-11,Jackal,Amakim,VII B,Perazon,,2017
284,107,A00308070 ,59.0,2017-12-10,Dog,Hasharon,VII B,Basma,,2017
285,106,A00307762 ,58.0,2017-12-06,Jackal,Amakim,VII B,Gid'Ona,,2017
286,105,A00307755 ,57.0,2017-12-05,Dog,Amakim,VII B,Afula,,2017
287,103,A00307546,56.0,2017-12-04,Jackal,Hasharon,VII B,Bat Shelomo,,2017
288,104,A00307547,55.0,2017-12-04,Jackal,Amakim,VII B,Yoqne'Am(Moshava),,2017
289,102,A00307402,54.0,2017-12-03,Jackal,Amakim,VII B,Moledet,,2017
290,124,A00307236 ,52.0,2017-11-30,Cattle,Amakim,VII B,En Hashofet,,2017
291,101,A00307240 ,53.0,2017-11-30,Jackal,Amakim,VII B,Ramat Hashofet,,2017
292,100,A00307111 ,51.0,2017-11-29,Jackal,Amakim,VII B,Nahalal,,2017
293,99,A00307051 ,50.0,2017-11-29,Jackal,Amakim,VII B,Nir Dawid (Tel Amal),,2017
294,98,A00307054 ,49.0,2017-11-29,Cattle,Amakim,VII B,En Hashofet,,2017
295,97,A00306869 ,48.0,2017-11-27,Dog,Amakim,VII B,Ramat Hashofet,,2017
296,123,A00306724 ,47.0,2017-11-26,Dog,Amakim,VII B,Gid'Ona,,2017
